source	name	smiles	can_smi	can_taut	can_taut_strip_stereo	InChI	InChIKey	Molecular_Weight	Molecular_Formula	CanonicalTautomer	NumberOfTautomers
from NCGCCanonicalForm.java	CYCLOHEXYLAMMONIUM	[NH3+]C1CCCCC1	[NH3+]C1CCCCC1	[NH3+]C1CCCCC1	[NH3+]C1CCCCC1	InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2/p+1	PAFZNILMFXTMIY-UHFFFAOYSA-O	100.18206	C6H14N		
from NCGCCanonicalForm.java	MONONITRATE	[O-][N+](=O)[O-]	[O-][N+](=O)[O-]	[O-][N+](=O)[O-]	[O-][N+](=O)[O-]	InChI=1S/NO3/c2-1(3)4/q-1	NHNBFGGVMKEFGY-UHFFFAOYSA-N	62.0049	NO3		
from NCGCCanonicalForm.java	NITRATE	[O-][N+](=O)[O-]	[O-][N+](=O)[O-]	[O-][N+](=O)[O-]	[O-][N+](=O)[O-]	InChI=1S/NO3/c2-1(3)4/q-1	NHNBFGGVMKEFGY-UHFFFAOYSA-N	62.0049	NO3		
from NCGCCanonicalForm.java	MALEATE	[O-]C(\C=C/C(=O)[O-])=O	OC(=O)\C=C/C(=O)O	OC(=O)\C=C/C(=O)O	OC(=O)C=CC(=O)O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1-	VZCYOOQTPOCHFL-UPHRSURJSA-N	116.07216	C4H4O4		
from NCGCCanonicalForm.java	FUMARATE	[O-]C(\C=C\C(=O)[O-])=O	OC(=O)\C=C\C(=O)O	OC(=O)\C=C\C(=O)O	OC(=O)C=CC(=O)O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+	VZCYOOQTPOCHFL-OWOJBTEDSA-N	116.07216	C4H4O4		
from NCGCCanonicalForm.java	CINNAMATE	[O-]C(\C=C\c1ccccc1)=O	OC(=O)\C=C\c1ccccc1	OC(=O)\C=C\c1ccccc1	OC(=O)C=Cc1ccccc1	InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+	WBYWAXJHAXSJNI-VOTSOKGWSA-N	148.15862	C9H8O2		
from NCGCCanonicalForm.java	CARBONATE	[O-]C(=O)[O-]	OC(=O)O	OC(=O)O	OC(=O)O	InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)	BVKZGUZCCUSVTD-UHFFFAOYSA-N	62.02478	CH2O3	Yes	3
from NCGCCanonicalForm.java	OXALATE	[O-]C(C(=O)[O-])=O	OC(=O)C(=O)O	OC(=O)C(=O)O	OC(=O)C(=O)O	InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)	MUBZPKHOEPUJKR-UHFFFAOYSA-N	90.03488	C2H2O4		
from NCGCCanonicalForm.java	TRIFLUOROACETATE	[O-]C(C(F)(F)F)=O	OC(=O)C(F)(F)F	OC(=O)C(F)(F)F	OC(=O)C(F)(F)F	InChI=1S/C2HF3O2/c3-2(4,5)1(6)7/h(H,6,7)	DTQVDTLACAAQTR-UHFFFAOYSA-N	114.02334	C2HF3O2		
from NCGCCanonicalForm.java	OROTATE	[O-]C(C(NC(=O)NC1=O)=C1)=O	OC(=O)C1=CC(=O)NC(=O)N1	OC(=O)c1cc(O)nc(O)n1	OC(=O)c1cc(O)nc(O)n1	InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)	PXQPEWDEAKTCGB-UHFFFAOYSA-N	156.09625	C5H4N2O4	Yes	6
