Agent,Alias Names,Originator,NSC Number,CAS #,Target,Status: Assigned For Synthesis/Delivered to DTP Repository/On Order ,Type,On Approved Drugs Plate,On Investigational Drugs Plate
Methotrexate,CL-14377 ,Pfizer,740,59-05-2,DHFR,Available,Approved,YES,NO
Busulfan,KRN-246,GlaxoSmithKline,750,55-98-1,Alkylator,Available,Approved,YES,NO
Thioguanine,,GlaxoSmithKline,752,154-42-7,Purine Antagonist,Available,Approved,YES,NO
Mercaptopurine,6MP,GlaxoSmithKline,755,6112-76-1,Purine Antagonist,Available,Approved,YES,NO
Nitrogen mustard,,Merck,762,55-86-7,Alkylator,Available,Approved,YES,NO
Allopurinol,BW-56-158,GlaxoSmithKline,1390,315-30-0,Xanthine Oxidase,Available,Approved,YES,NO
Dactinomycin,,Merck,3053,50-76-0,DNA-Directed RNA Polymerase,Available,Approved,YES,NO
Chlorambucil,,GlaxoSmithKline,3088,305-03-3,Alkylator,Available,Approved,YES,NO
Thiotepa,,Amgen,6396,52-24-4,Cytochrome P450 Oxidase,Available,Approved,YES,NO
Melphalan,CB-3025,GlaxoSmithKline,8806,148-82-3,Alkylator,Available,Approved,YES,NO
Triethylenemelamine,,,9706,51-18-3,Alkylator,Available,Approved,YES,NO
Altretamine,KB-913 ,Sanofi,13875,645-05-6,Alkylator,Available,Approved,YES,NO
Acrichine,,,14229,83-89-6,Antiprotozoal,Available,Approved,YES,NO
Lithium Carbonate,,Abbptt,16895,554-13-2,GSK-3,Available,Approved,NO,YES
Aminolevulinic acid,,,18509,106-60-5,Photosensitizer,Available,Approved,YES,NO
Fluorouracil,5-FU; Ro-29757,Roche,19893,51-21-8,Pyrimidine Antagonist,Available,Approved,YES,NO
Plicamycin,A-2371; PA-144,Pfizer,24559,18378-89-7,Alcohol Dehydrogenase,Available,Approved,YES,NO
Pipobroman,A-8103,Abbott,25154,54-91-1,Alkylator,Available,Approved,YES,NO
Cyclophosphamide,,BMS,26271,50-18-0,Alkylator,Available,Approved,YES,NO
Mitomycin C,,BMS,26980,50-07-7,DNA Alkylating,Available,Approved,YES,NO
Floxuridine,5-FdU,Roche,27640,50-91-9,Pyrimidine Antagonist,Available,Approved,YES,NO
Oxonic Acid,Oxo,BMS,28841,2207-75-2,Urate Oxidase,Available,Approved,NO,NO
Hydroxyurea,,BMS,32065,127-07-1,Antimetabolite,Available,Approved,YES,NO
Uracil mustard,,,34462,66-75-1,Alkylator,Available,Approved,YES,NO
