sort code,NSC,Generic Name,Brand Name,Target/MOA,class,MW,Dose,Dose Unit,Route,infusion,dose schedule,Cmax (uM),Cmax (mol/liter),Cmax (g/l),Cmax (raw units),Tmax,T1/2,AUC,Cl,Vss,Reference,Initial U.S. approval,Indications,Notes,,,,,,,,,,,unit list,route list
1,,Ado-trastuzumab emtansine ,Kadcyla,HER2 (ErbB2),ADC: m/h chimeric mAb conjugate,148500,3.6,mg/kg,IV,90 min *,q. 3 wk,0.562,5.61616161616162E-007,0.0834,83.4 ug/ml,end of infusion,4 d,,0.68 L/d,3.13 L,Drug Product Label,2013,"Breast cancer,  metastatic;  HER2 overexpression","approved 02.22.13; * initial infusion 90 min; 30 min subsequently. Humanized anti-HER2 IgG1, trastuzumab, covalently linked to the microtubule inhibitory drug DM1 (a maytansine derivative; 3.5 moles/mole mAb) via the stable thioether linker MCC (4-[N-maleimidomethyl] cyclohexane-1-carboxylate). Emtansine refers to the MCC-DM1 complex.",,,,,,,,,,,,
2,,free  DM1,"""",Tubulin: microtubule inhibitor,cytotoxic,738,,,,,,0.006,6.24415879938777E-009,0.00000461,4.61 ng/ml,,,,,,Drug Product Label,,,,,,,,,,,,,,,
3,,Aldesleukin,Proleukin ,IL-2a R,rec IL-2a mutein,15300,1.1,mg,SC,,,0.00159,1.59477124183007E-009,0.0000244,2442 pg/ml,2.5 h,1.7 h,15746 pg•hr/ml,74 L/h,403 L,"J Clin Pharmacol, 2002; 42:774-781",1992,"Melanoma, metastatic   renal cell carcinoma, metastatic","18E6 IU= 1.1 mg protein; dose is 600,000 IU/kg",,,,,,,,,,,,
4,715969,Alemtuzumab,Campath ,CD52,mAb: humanized IgG1,145453,30,mg,IV,2 h,3X/ wk,0.07356,7.35632816098671E-008,0.0107,10.7 ug/ml,,6 d,,,,"Blood 2004, 104(4): 948; Drug Product Label",2001,"Leukemia: B-cell chronic lymphocytic leukemia,","mean Cmax at steady state.  Campath is no longer commercially available, withdrawn 2012",,,,,,,,,,,,
5,724770,Aflibercept,Zaltrap,VEGF,mAb: fusion of  VEGFR1/VEGFR2/Fc,96900,4,mg/kg,IV,1 h,q. 2 wk,1.00516,1.00515995872033E-006,0.0974,97.4 ug/ml,,5.5 d,293 ug•day/ml,1.1 L/d,7.88 L,"J Clin Oncol 2010, 28(2): 207",2012,Colorectal cancer,"soluble VEGF decoy receptor;   approved 08.03.12 for use in combination with a FOLFIRI (folinic acid, fluorouracil and irinotecan) chemotherapy regimen to treat adults with colorectal cancer",,,,,,,,,,,,
6,,Asparaginase,Elspar,asparagine,Enzyme: rec asparaginase,31731,5000,U/m2,IV,30 min,q. 3d,0.51684,5.16844725977751E-007,0.0164,3700 U/L,,18.5 h,69135 U•hr/L,0.050 L/h,,Blood. 2008 Dec 15;112(13):4832-8,1978,"Leukemia: Acute lymphoid leukemia, In combination with other chemotherapeutic agents", 225 Units/ mg protein,,,,,,,,,,,,
7,704865,Bevacizumab,Avastin ,VEGF,mAb: humanized  IgG1,149000,10,mg/kg,IV,30 min,q. 2 wk,1.90604,0.000001906,0.284,284 ug/ml,,21 d,,2.75 ml/kg/d,,J Clin Oncol. 2001 Feb 1;19(3):843-50,2004,"Cervical cancer, Glioblastoma multiforme, Metastatic colorectal cancer, renal cell carcinoma, Nonsquamous non-small cell lung cancer",,,,,,,,,,,,,
8,,Blinatumomab,Blincyto,CD3/CD19,fusion: scFv fusion protein:  CD3 and CD19,54100,28,ug,IV,24 h,q.d. X 28 ,0.000011,1.14787430683919E-011,0.000000621,621 pg/ml *,,2.1 h,,2.92 L/h,4.52 L,Drug Product Label,2014,Leukemia: Acute lymphoid leukemia (R/R ALL): Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia,Approved 12/03/2014.  * Value is Css; steady-state achieved within first 24 h of infusion.   Bi-specific T-cell engager (BiTE); BiTEs are fusion proteins consisting of two single-chain variable fragments (scFvs) of different antibodies,,,,,,,,,,,,
9,,Brentuximab Vedotin,Adcetris,CD30,ADC: m/h chimeric mAb conjugate,153000,1.8,mg/kg,IV,30 min,q. 3 wk,0.20915,2.09150326797386E-007,0.032,32 ug/ml,0.089 d,4.43 d,76.65 ug•day/ml,1.76 L/d,,N Engl J Med 2010;363:1812-21,2011,"Lymphoma: Anaplastic large T-cell systemic malignant lymphoma,  Hodgkin's disease","conjugated to three to five units of the antimitotic agent monomethyl auristatin E, coupled via protease-sensitive linker which is hydrolyzed following endocytosis.",,,,,,,,,,,,
10,,free MMAE,"""",antimitotic,cytotoxic,718,,,,,,0.00696,0.000000007,0.000005,0.005 ug/ml,2.09 d,3.6 d,0.036 ug•day/ml,,,(as above),,,"free MMAE levels, administered as conjugate",,,,,,,,,,,,
