NSC	MF	MW	RS3_MF	RS3_MW	RS3_Num_Atoms	RS3_Num_Fragments	ERROR_MSG	Alt_MF	Alt_MW	Alt_Num_Atoms	Alt_Num_Fragments
331409	C16H15N3O3S.xCr		C16H15N3O3S	329.3736	23	1	FAILED MERGE				
331410	C16H15N3O3S.xMn		C16H15N3O3S	329.3736	23	1	FAILED MERGE				
335240	(C13H16O2.C4H6O2.C4H6O2)x		C21H27O6R#2	375.43548	29	3	FAILED MERGE				
339778	(C6H12N2OS4.2H3N)x		C6H10N2OS4	254.41639	13	1	FAILED MERGE				
357801	(C19H38NO2.Br)x		C19H38NO2	312.51052	22	1	FAILED MERGE				
361100	C3H5N3O3.xAg		C3H5N3O3	131.09009	9	1	FAILED MERGE				
367544	(CH2)nC4H8O5S.Na		C5H10O5S	182.1949	11	1	FAILED MERGE				
375656	C28H28Cl2N4O4.xNi		C28H28Cl2N4O4	555.45231	38	1	FAILED MERGE				
375658	C28H30N4O4.xCu		C28H30N4O4	486.56219	36	1	FAILED MERGE				
375663	C32H22Cl2N4O4.xCu		C32H22Cl2N4O4	597.44747	42	1	FAILED MERGE				
376168	(C5H7O3S)n(C5H7O3S)nC15H16O2.2Na		C25H32O8S2	524.64677	35	1	FAILED MERGE				
382539	C7H7NO2.xFe		C7H7NO2	137.13598	10	1	FAILED MERGE				
405498	(C12H18BrN2.Br)x		C12H18BrN2	270.18872	15	1	FAILED MERGE				
633423	(C14H14N2O6S2)n.(C4H12N)2n		C18H22N3O6R#2S2	440.51378	31	2	FAILED MERGE				
112758	C27H29NO10.W99.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
115759	(C6H9N2.I)x						FAILED MERGE	C6H9IN2	236.05353	9	2
116479	(C10H17NO.C6H9NO)x						FAILED MERGE	C12H18*2N2O2	222.28352	18	3
116480	(C10H17NO.C6H9NO)x						FAILED MERGE	C12H18*2N2O2	222.28352	18	3
116481	(C24H45NO.C6H9NO)x						FAILED MERGE	C30H55*N2O2	475.76989	35	3
123540	C24H16N2O6S2.xH2O.2Na						FAILED MERGE	C24H19*N2NaO4S	454.47343	33	4
124298	(C10H17NO.C6H9NO)x						FAILED MERGE	C12H18*2N2O2	222.28352	18	3
124299	(C24H45NO.C6H9NO)x						FAILED MERGE	C30H55*N2O2	475.76989	35	3
129223	C30H56N6O7.xBrH						FAILED MERGE	C30H57BrN6O7	693.71358	44	2
129239	C45H83N9O10.xBrH						FAILED MERGE	C45H84BrN9O10	991.10676	65	2
129240	C60H110N12O13.xBrH						FAILED MERGE	C60H111BrN12O13	1288.49993	86	2
156104	(C20H32As4O2RhS.Cl)x						FAILED MERGE	C20H37As4ClO2RhS	779.61648	29	2
159807	C9H7NO3S.xH2O.Na						FAILED MERGE	C9H10*NNaO4S	251.23477	17	4
169533	C27H29NO10.xClH.xNa.xW99						FAILED MERGE	C27H30ClNNaO10	586.97056	40	3
169534	C27H29NO11.xClH.xNa.xW99						FAILED MERGE	C27H30ClNNaO11	602.96996	41	3
169844	(C5H12N2O2.BrH)x						FAILED MERGE	C5H13BrN2O2	213.07292	10	2
169854	(C18H19N3O2.C5H12N2O2)x						FAILED MERGE	C23H32*N5O4	442.53128	33	3
175426	Cl2H6N2Pt.W99						FAILED MERGE	Cl2H6N2Pt	300.04504	5	1
177897	(C12H15NO4.C8H10N2O2)x						FAILED MERGE	C20H26*N3O6	404.43694	30	3
177899	(C9H11NO3.C8H10N2O2)x						FAILED MERGE	C17H22*N3O5	348.37368	26	3
177900	(C17H17NO5.C8H10N2O2)x						FAILED MERGE	C25H28*N3O7	482.50572	36	3
177901	(C12H15NO4.C8H10N2O2)x						FAILED MERGE	C20H26*N3O6	404.43694	30	3
181110	(C13H18N.Cl)x						FAILED MERGE	C13H19*ClN	225.7576	16	3
181111	(C19H22N.Cl)x						FAILED MERGE	C19H23*ClN	301.85356	22	3
181119	(C24H40N.Cl)x						FAILED MERGE	C24H41*ClN	380.04998	27	3
181120	(C30H52N.Cl)x						FAILED MERGE	C30H53*ClN	464.20946	33	3
181745	C26H52N.xW99						FAILED MERGE	C26H56N	382.72954	27	1
183880	C9H10N2O3S.xClH						FAILED MERGE	C9H12*ClN2O3S	263.72118	17	3
188208	C48H104N6P2.xClH						FAILED MERGE	C48H105ClN6P2	863.78802	57	2
188564	(C23H38NO2.Cl)x						FAILED MERGE	C23H38ClNO2	397.01425	27	2
191297	C62H86N12O16.xNa.xW99						FAILED MERGE	C62H86N12NaO16	1278.40681	91	2
191676	C8H7Cl2N3OS.xCu						FAILED MERGE	C8H7Cl2CuN3OS	327.67768	16	2
196529	C25H22N4O7.W99						FAILED MERGE	C25H22N4O7	490.46477	36	1
196598	(C15H24N4O6)nC17H29N5O8.xNa						FAILED MERGE	C32H53N9NaO14	810.80489	56	2
196918	C12H27N.1/2(C2H4O)n(C2H4O)nC19H14O9						FAILED MERGE	C24H39*2NO6	437.56955	33	3
196919	C12H27N.(C3H6O)nC8H6O4						FAILED MERGE	C20H33*NO5	367.47971	27	2
196923	C5H5N.1/2(C4H8O)n(C4H8O)nC17H10O9						FAILED MERGE	C18H19*2NO6	345.34655	27	3
196966	(C8H16N.Cl)x						FAILED MERGE	C8H16ClN	162.68028	10	2
196976	(C8H16N.Cl)x						FAILED MERGE	C8H16ClN	162.68028	10	2
197051	(C4H7NO4.C3H6N2O)x						FAILED MERGE	C7H14*N3O5	220.20316	16	3
208644	(C6H9NO)n.xI2						FAILED MERGE	C6H9*2I2NO	364.95069	12	2
208737	C34H35N3O10.xClH.xNa.9W99						FAILED MERGE	C34H36ClN3NaO10	705.10651	49	3
212540	(C6H10O7)x.xNa						FAILED MERGE	C6H10NaO7	217.12917	14	2
220333	(C20H25N10O10P)x.xK						FAILED MERGE	C20H25KN10O10P	635.54556	42	2
224963	(C9H13N2O9P)x.xK						FAILED MERGE	C9H13KN2O9P	363.27958	22	2
226536	C6H3Cl3N2O2.x(C2H5N)n						FAILED MERGE	C8H8*2Cl3N3O2	284.52702	18	2
226990	Cl2H6N2Pt.W99						FAILED MERGE	Cl2H6N2Pt	300.04504	5	1
229634	C4H7AsO5.xPb						FAILED MERGE	C4H7AsO5Pb	417.21698	11	2
232019	C21H22N2O2.xClH						FAILED MERGE	C21H15ClN2O2	362.809	26	2
237522	(C14H15N6.Cl)x						FAILED MERGE	C14H15ClN6	303.77004	21	2
237523	(C14H16N3O2.Cl)x						FAILED MERGE	C14H16ClN3O2	294.75667	20	2
238164	C12H25O3S.W99						FAILED MERGE	C12H26O3S	250.39804	16	1
239741	(C18H25N6O12P)x.xK						FAILED MERGE	C18H25KN6O12P	587.49616	38	2
241574	C10H11N.xC4H4O4						FAILED MERGE	C13H14*NO4	248.25455	19	3
243618	C2H4O8S2.xAg						FAILED MERGE	C2H4AgO8S2	328.04656	13	2
244787	CH4N2O2.xCo						FAILED MERGE	CH4CoN2O2	134.98786	6	2
246659	(CH2)nC2H6N2.ClH						FAILED MERGE	C3H9ClN2	108.56996	6	2
247517	(C10H16N3O8P)x.xH3N						FAILED MERGE	C10H19N4O8P	354.25362	23	2
247518	(C10H16N3O8P)x.xH3N						FAILED MERGE	C10H19N4O8P	354.25362	23	2
253268	(C2H4O)nC14H28O3.Na						FAILED MERGE	C16H32NaO4	311.41265	21	2
253269	(C2H4O)nC20H40O3.Na						FAILED MERGE	C22H44NaO4	395.57212	27	2
253566	(C2H4O)nC14H28O3.Na						FAILED MERGE	C16H32NaO4	311.41265	21	2
253567	(C2H4O)nC14H28O3.Na						FAILED MERGE	C16H32NaO4	311.41265	21	2
253568	(C2H4O)nC20H40O3.Na						FAILED MERGE	C22H44NaO4	395.57212	27	2
253569	(C2H4O)nC14H28O3.Na						FAILED MERGE	C16H32NaO4	311.41265	21	2
253570	(C2H4O)nC14H28O3.Na						FAILED MERGE	C16H32NaO4	311.41265	21	2
253746	(C2H4O)nC19H28O4.Na						FAILED MERGE	C21H32NaO5	387.46554	27	2
255527	(C6H9NO)n.xI2						FAILED MERGE	C6H9*2I2NO	364.95069	12	2
257453	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
257454	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
257556	(C2H4O)nC5H14NO.Cl						FAILED MERGE	C7H18ClNO2	184.68426	11	2
259672	(C6H12O15S3.3Na)x						FAILED MERGE	C6H12NaO15S3	443.33524	25	2
262198	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
262199	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
262200	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
262647	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
262648	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
262649	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
262650	C31H41N3O9.W99						FAILED MERGE	C31H41N3O9	599.67193	43	1
263674	C31H40N2O9.W99						FAILED MERGE	C31H40N2O9	584.6573	42	1
265472	Cl2H6N2Pt.W99						FAILED MERGE	Cl2H6N2Pt	300.04504	5	1
266538	C30H38N2O10.W99						FAILED MERGE	C30H38N2O10	586.63012	42	1
267195	CH2N2.xPb						FAILED MERGE	CH2N2Pb	249.23998	4	2
267721	C4H13N3.x(C2H4O3S)n.xNa						FAILED MERGE	C6H17*2N3NaO3S	234.27225	16	3
267722	C6H18N4.x(C2H4O3S)n.xNa						FAILED MERGE	C8H22*2N4NaO3S	277.34005	19	3
267723	C8H23N5.x(C2H4O3S)n.xNa						FAILED MERGE	C10H27*2N5NaO3S	320.40785	22	3
267973	C4H13N3.x(C2H4O3S)n.xNa						FAILED MERGE	C6H17*2N3NaO3S	234.27225	16	3
270271	C9H6CuNO.(C6H9NO)n						FAILED MERGE	C15H15*2CuN2O2	319.84574	22	2
272332	C27H29NO11.W99						FAILED MERGE	C27H29NO11	543.51925	39	1
272705	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
272706	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
272707	C27H29NO11.W99						FAILED MERGE	C27H29NO11	543.51925	39	1
272708	C27H29NO11.W99						FAILED MERGE	C27H29NO11	543.51925	39	1
273442	C27H29NO10.W99						FAILED MERGE	C27H29NO10	527.51985	38	1
277057	(C6H7O2P.1/3Al)x						FAILED MERGE	C6H7AlO2P	169.07387	10	2
277058	(C12H11O2P.1/3Al)x						FAILED MERGE	C12H11AlO2P	245.16983	16	2
277059	(C12H11OPS.1/3Al)x						FAILED MERGE	C12H11AlOPS	261.23543	16	2
277066	(C12H11O2P.1/4Zr)x						FAILED MERGE	C12H11O2PZr	309.4123	16	2
277067	(C12H11O2P.1/3V)x						FAILED MERGE	C12H11O2PV	269.1298	16	2
282384	(C13H22N2)nC13H22ClN2.ClH.3Cl						FAILED MERGE	C26H45Cl3N4	523.04512	33	3
282385	(C14H24N2)nC14H24ClN2.ClH.3Cl						FAILED MERGE	C28H49Cl3N4	551.09827	35	3
282386	(C15H26N2)nC15H26ClN2.ClH.3Cl						FAILED MERGE	C30H53Cl3N4	579.15143	37	3
282387	(C16H28N2)nC16H28ClN2.ClH.3Cl						FAILED MERGE	C32H57Cl3N4	607.20459	39	3
282388	(C18H32N2)nC18H32ClN2.ClH.3Cl						FAILED MERGE	C36H65Cl3N4	663.31091	43	3
282389	(C14H22N2)nC14H22ClN2.ClH.3Cl						FAILED MERGE	C28H45Cl3N4	547.06652	35	3
282390	(C18H24N2)nC18H24ClN2.ClH.3Cl						FAILED MERGE	C36H49Cl3N4	647.18388	43	3
302662	(C27H29NO11.ClH.W99)x						FAILED MERGE	C27H30ClNO11	579.98019	40	2
303830	(C27H29NO11.W99)x						FAILED MERGE	C27H29NO11	543.51925	39	1
303831	(C27H29NO11.W99)x						FAILED MERGE	C27H29NO11	543.51925	39	1
303847	(C13H18Cl2N2O2.ClH.W99)x						FAILED MERGE	C13H19Cl3N2O2	341.66116	20	2
303850	(Cl2H6N2Pt.W99)x						FAILED MERGE	Cl2H6N2Pt	300.04504	5	1
304684	(C27H29NO10.W99)x						FAILED MERGE	C27H29NO10	527.51985	38	1
304685	(C27H29NO10.W99)x						FAILED MERGE	C27H29NO10	527.51985	38	1
307242	(C27H29NO11.W99)x						FAILED MERGE	C27H29NO11	543.51925	39	1
307243	(C27H29NO11.W99)x						FAILED MERGE	C27H29NO11	543.51925	39	1
307963	C10H12ClN4O7P.W99						FAILED MERGE	C10H12ClN4O7P	366.65164	23	1
307964	C10H14N5O7P.W99						FAILED MERGE	C10H14N5O7P	347.22122	23	1
307969	C9H13N2O9P.W99						FAILED MERGE	C9H13N2O9P	324.18128	21	1
307970	C10H13N4O7P.W99						FAILED MERGE	C10H13N4O7P	332.20658	22	1
307971	C10H15N2O8P.W99						FAILED MERGE	C10H15N2O8P	322.20846	21	1
314328	C20H22N8O5.W99						FAILED MERGE	C20H22N8O5	454.43927	33	1
319733	C15H30N4O5.xClH						FAILED MERGE	C15H31ClN4O5	382.88344	25	2
325614	C8H14ClN3O4.2(C6H10O5)x						FAILED MERGE	C8H14ClN3O4	251.66745	16	1
331409	C16H15N3O3S.xCr						FAILED MERGE	C16H15CrN3O3S	381.3697	24	2
331410	C16H15N3O3S.xMn						FAILED MERGE	C16H15MnN3O3S	384.31164	24	2
335240	(C13H16O2.C4H6O2.C4H6O2)x						FAILED MERGE	C21H30*2O6	378.4593	29	5
339778	(C6H12N2OS4.2H3N)x						FAILED MERGE	C6H15N3OS4	273.4628	14	2
357801	(C19H38NO2.Br)x						FAILED MERGE	C19H38BrNO2	393.42246	23	2
361100	C3H5N3O3.xAg						FAILED MERGE	C3H5AgN3O3	238.95829	10	2
367544	(CH2)nC4H8O5S.Na						FAILED MERGE	C5H10NaO5S	205.18466	12	2
375656	C28H28Cl2N4O4.xNi						FAILED MERGE	C28H28Cl2N4NiO4	614.14571	39	2
375658	C28H30N4O4.xCu						FAILED MERGE	C28H30CuN4O4	550.10819	37	2
375663	C32H22Cl2N4O4.xCu						FAILED MERGE	C32H22Cl2CuN4O4	660.99348	43	2
376168	(C5H7O3S)n(C5H7O3S)nC15H16O2.2Na						FAILED MERGE	C25H32NaO8S2	547.63654	36	2
382539	C7H7NO2.xFe						FAILED MERGE	C7H7FeNO2	192.98098	11	2
405498	(C12H18BrN2.Br)x						FAILED MERGE	C12H18Br2N2	351.10066	16	2
477	C6H10O8Ti.2H	260	C6H10O8Ti	258.0058	15	1		C6H10O8Ti	258.00579	15	1
877	C22H30NO.I	451	C22H30NO	324.47969	24	1		C22H30INO	452.3921	25	2
1048	C7H5HgO3.Na	361	C7H6HgO3	338.71074	11	1		C7H6HgNaO3	361.70051	12	2
1295	C6H24N6Ni.2Cl	310	C6H18N6Ni	232.94072	13	1		C6H18ClN6Ni	268.39372	14	2
